T:1.257	nS:9784	nQ:85	nE:63	nI:112	nP:7	nR:34	nF:0	node:[9457]	E -> I
T:1.258	nS:9784	nQ:85	nE:62	nI:113	nP:7	nR:34	nF:0	node:[8343]	I -> R
T:1.262	nS:9784	nQ:85	nE:62	nI:112	nP:7	nR:35	nF:0	node:[2897]	I -> R
T:1.288	nS:9784	nQ:85	nE:62	nI:111	nP:7	nR:36	nF:0	node:[8771]	S -> E
T:1.299	nS:9783	nQ:85	nE:63	nI:111	nP:7	nR:36	nF:0	node:[2449]	E -> I
T:1.301	nS:9783	nQ:85	nE:62	nI:112	nP:7	nR:36	nF:0	node:[2671]	E -> I
T:1.306	nS:9783	nQ:85	nE:61	nI:113	nP:7	nR:36	nF:0	node:[8205]	E -> I
T:1.334	nS:9783	nQ:85	nE:60	nI:114	nP:7	nR:36	nF:0	node:[1716]	S -> E
T:1.369	nS:9782	nQ:85	nE:61	nI:114	nP:7	nR:36	nF:0	node:[1620]	S -> E
T:1.386	nS:9781	nQ:85	nE:62	nI:114	nP:7	nR:36	nF:0	node:[6001]	I -> R
T:1.394	nS:9781	nQ:85	nE:62	nI:113	nP:7	nR:37	nF:0	node:[659]	I -> R
T:1.436	nS:9781	nQ:85	nE:62	nI:112	nP:7	nR:38	nF:0	node:[6250]	E -> I
T:1.439	nS:9781	nQ:85	nE:61	nI:113	nP:7	nR:38	nF:0	node:[7295]	S -> E
T:1.448	nS:9780	nQ:85	nE:62	nI:113	nP:7	nR:38	nF:0	node:[9893]	I -> R
T:1.460	nS:9780	nQ:85	nE:62	nI:112	nP:7	nR:39	nF:0	node:[762]	S -> E
T:1.474	nS:9779	nQ:85	nE:63	nI:112	nP:7	nR:39	nF:0	node:[5795]	I -> R
T:1.480	nS:9779	nQ:85	nE:63	nI:111	nP:7	nR:40	nF:0	node:[7120]	S -> E
T:1.494	nS:9778	nQ:85	nE:64	nI:111	nP:7	nR:40	nF:0	node:[4851]	I -> P
T:1.499	nS:9778	nQ:92	nE:64	nI:110	nP:8	nR:40	nF:0	node:[7460]	S -> E
T:1.504	nS:9777	nQ:92	nE:65	nI:110	nP:8	nR:40	nF:0	node:[8131]	I -> R
T:1.513	nS:9777	nQ:92	nE:65	nI:109	nP:8	nR:41	nF:0	node:[8588]	S -> E
T:1.515	nS:9776	nQ:92	nE:66	nI:109	nP:8	nR:41	nF:0	node:[2721]	I -> R
T:1.516	nS:9776	nQ:92	nE:66	nI:108	nP:8	nR:42	nF:0	node:[7051]	S -> E
T:1.527	nS:9775	nQ:92	nE:67	nI:108	nP:8	nR:42	nF:0	node:[2732]	I -> R
T:1.528	nS:9775	nQ:92	nE:67	nI:107	nP:8	nR:43	nF:0	node:[5161]	S -> E
T:1.540	nS:9774	nQ:92	nE:68	nI:107	nP:8	nR:43	nF:0	node:[1871]	I -> R
T:1.567	nS:9774	nQ:92	nE:68	nI:106	nP:8	nR:44	nF:0	node:[4890]	S -> E
T:1.585	nS:9773	nQ:92	nE:69	nI:106	nP:8	nR:44	nF:0	node:[456]	E -> I
T:1.587	nS:9773	nQ:92	nE:68	nI:107	nP:8	nR:44	nF:0	node:[6865]	S -> E
T:1.598	nS:9772	nQ:92	nE:69	nI:107	nP:8	nR:44	nF:0	node:[7768]	I -> P
T:1.604	nS:9772	nQ:102	nE:69	nI:106	nP:9	nR:44	nF:0	node:[2661]	S -> E
T:1.616	nS:9771	nQ:102	nE:70	nI:106	nP:9	nR:44	nF:0	node:[6319]	S -> E
T:1.621	nS:9770	nQ:102	nE:71	nI:106	nP:9	nR:44	nF:0	node:[4464]	I -> R
T:1.636	nS:9770	nQ:102	nE:71	nI:105	nP:9	nR:45	nF:0	node:[7108]	I -> R
T:1.640	nS:9770	nQ:102	nE:71	nI:104	nP:9	nR:46	nF:0	node:[4890]	E -> I
T:1.659	nS:9770	nQ:102	nE:70	nI:105	nP:9	nR:46	nF:0	node:[3672]	E -> I
T:1.667	nS:9770	nQ:102	nE:69	nI:106	nP:9	nR:46	nF:0	node:[6783]	S -> E
T:1.713	nS:9769	nQ:102	nE:70	nI:106	nP:9	nR:46	nF:0	node:[2929]	S -> E
T:1.738	nS:9768	nQ:102	nE:71	nI:106	nP:9	nR:46	nF:0	node:[2163]	I -> R
T:1.744	nS:9768	nQ:102	nE:71	nI:105	nP:9	nR:47	nF:0	node:[797]	I -> R
T:1.749	nS:9768	nQ:102	nE:71	nI:104	nP:9	nR:48	nF:0	node:[7611]	S -> E
T:1.778	nS:9767	nQ:102	nE:72	nI:104	nP:9	nR:48	nF:0	node:[9123]	I -> P
T:1.828	nS:9767	nQ:107	nE:72	nI:103	nP:10	nR:48	nF:0	node:[1472]	P -> R
T:1.845	nS:9767	nQ:107	nE:72	nI:103	nP:9	nR:49	nF:0	node:[4494]	S -> E
T:1.852	nS:9766	nQ:107	nE:73	nI:103	nP:9	nR:49	nF:0	node:[9845]	I -> R
T:1.852	nS:9766	nQ:107	nE:73	nI:102	nP:9	nR:50	nF:0	node:[395]	S -> E
T:1.854	nS:9765	nQ:107	nE:74	nI:102	nP:9	nR:50	nF:0	node:[2251]	I -> R
T:1.855	nS:9765	nQ:107	nE:74	nI:101	nP:9	nR:51	nF:0	node:[419]	S -> E
T:1.861	nS:9764	nQ:107	nE:75	nI:101	nP:9	nR:51	nF:0	node:[6729]	S -> E
T:1.862	nS:9763	nQ:107	nE:76	nI:101	nP:9	nR:51	nF:0	node:[3467]	S -> E
T:1.863	nS:9762	nQ:107	nE:77	nI:101	nP:9	nR:51	nF:0	node:[6798]	S -> E
T:1.865	nS:9761	nQ:107	nE:78	nI:101	nP:9	nR:51	nF:0	node:[2722]	E -> I
T:1.873	nS:9761	nQ:107	nE:77	nI:102	nP:9	nR:51	nF:0	node:[8125]	S -> E
T:1.881	nS:9760	nQ:107	nE:78	nI:102	nP:9	nR:51	nF:0	node:[8448]	I -> R
T:1.886	nS:9760	nQ:107	nE:78	nI:101	nP:9	nR:52	nF:0	node:[8945]	E -> I
T:1.894	nS:9760	nQ:107	nE:77	nI:102	nP:9	nR:52	nF:0	node:[5694]	S -> E
T:1.918	nS:9759	nQ:107	nE:78	nI:102	nP:9	nR:52	nF:0	node:[6216]	I -> R
